date & time of start is : 2022-05-23 09:07:45
torch version is: 1.8.0
number of GPUs: 2
device: cuda:0
Total Trainable Params: 11.061 M
   training starts!
[Epc 38] tt: 0.237, cl_st: 0.134, cl_wk: 0.167, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.061, t_vl: 1.047, t: 100s
[Epc 39] tt: 0.241, cl_st: 0.134, cl_wk: 0.170, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.089, t_vl: 1.073, t: 100s
[Epc 40] tt: 0.245, cl_st: 0.138, cl_wk: 0.168, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.068, t_vl: 1.143, t: 100s
[Epc 41] tt: 0.234, cl_st: 0.131, cl_wk: 0.161, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.164, t_vl: 1.131, t: 100s
[Epc 42] tt: 0.244, cl_st: 0.134, cl_wk: 0.174, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.156, t_vl: 1.162, t: 100s
[Epc 43] tt: 0.235, cl_st: 0.129, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.096, t_vl: 1.159, t: 100s
[Epc 44] tt: 0.241, cl_st: 0.132, cl_wk: 0.171, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.106, t_vl: 1.167, t: 100s
[Epc 45] tt: 0.230, cl_st: 0.131, cl_wk: 0.151, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.144, t_vl: 1.165, t: 100s
[Epc 46] tt: 0.226, cl_st: 0.124, cl_wk: 0.158, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.223, t_vl: 1.206, t: 100s
[Epc 47] tt: 0.234, cl_st: 0.130, cl_wk: 0.159, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.167, t_vl: 1.183, t: 100s
[Epc 48] tt: 0.230, cl_st: 0.128, cl_wk: 0.154, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.102, t_vl: 1.155, t: 100s
[Epc 49] tt: 0.221, cl_st: 0.119, cl_wk: 0.153, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.207, t_vl: 1.233, t: 100s
[Epc 50] tt: 0.226, cl_st: 0.123, cl_wk: 0.154, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.231, t_vl: 1.247, t: 100s
[Epc 51] tt: 0.218, cl_st: 0.122, cl_wk: 0.143, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.206, t_vl: 1.242, t: 100s
[Epc 52] tt: 0.216, cl_st: 0.118, cl_wk: 0.144, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.239, t_vl: 1.259, t: 100s
[Epc 53] tt: 0.222, cl_st: 0.121, cl_wk: 0.152, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.238, t_vl: 1.274, t: 100s
[Epc 54] tt: 0.203, cl_st: 0.114, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.232, t_vl: 1.187, t: 100s
[Epc 55] tt: 0.217, cl_st: 0.121, cl_wk: 0.145, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.188, t_vl: 1.224, t: 100s
[Epc 56] tt: 0.204, cl_st: 0.115, cl_wk: 0.125, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.263, t_vl: 1.307, t: 100s
[Epc 57] tt: 0.205, cl_st: 0.114, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.262, t_vl: 1.254, t: 100s
[Epc 58] tt: 0.197, cl_st: 0.105, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.264, t_vl: 1.298, t: 100s
[Epc 59] tt: 0.199, cl_st: 0.111, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.233, t_vl: 1.304, t: 100s
[Epc 60] tt: 0.196, cl_st: 0.110, cl_wk: 0.123, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.156, t_vl: 1.224, t: 100s
[Epc 61] tt: 0.205, cl_st: 0.115, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.269, t_vl: 1.248, t: 100s
